ad_id,date,adview_count
167860058.0,2025-05-29,18.0
167860058.0,2025-05-30,14.0
167364080.0,2025-05-10,13.0
167364080.0,2025-05-25,17.0
167248274.0,2025-05-10,
167560953.0,2025-05-20,
167248274.0,2025-05-15,
167306757.0,2025-05-15,
167396091.0,2025-05-14,
167549474.0,2025-05-20,
167471842.0,2025-06-02,
167818167.0,2025-05-26,18.0
167735938.0,2025-05-26,
167396091.0,2025-05-29,
167355510.0,2025-05-18,
167265221.0,2025-05-15,
167248274.0,2025-05-08,
167248274.0,2025-05-19,
167549474.0,2025-05-24,
167306519.0,2025-06-02,
167265221.0,2025-05-12,
167507567.0,2025-05-20,
167160324.0,2025-05-16,
167423492.0,2025-05-31,
167419995.0,2025-05-17,
167429492.0,2025-05-15,
167466023.0,2025-05-22,
167160324.0,2025-05-30,
167421578.0,2025-05-23,
167306519.0,2025-05-10,
167355510.0,2025-05-14,
167699811.0,2025-06-01,
167271773.0,2025-05-17,
167699811.0,2025-05-30,
167946848.0,2025-06-02,
167160324.0,2025-06-02,
167435724.0,2025-06-03,
167421578.0,2025-05-16,
167355510.0,2025-05-30,
167517469.0,2025-05-20,
167306519.0,2025-05-15,
167412454.0,2025-06-02,
167412330.0,2025-05-15,
167471842.0,2025-05-14,
167717589.0,2025-05-30,
167160324.0,2025-05-10,
167412454.0,2025-05-30,
167241716.0,2025-05-08,
167355510.0,2025-05-21,
167873129.0,2025-06-03,
167333192.0,2025-05-14,
167859493.0,2025-06-01,
167688649.0,2025-05-31,
167333192.0,2025-05-21,
167466023.0,2025-06-01,
167466023.0,2025-05-16,
167521340.0,2025-05-18,
167412330.0,2025-05-21,
167292729.0,2025-05-26,
167412454.0,2025-05-17,
167424227.0,2025-05-17,
167419995.0,2025-06-03,
167423957.0,2025-05-17,
167277953.0,2025-05-13,
167426382.0,2025-05-21,
167241716.0,2025-05-30,
167043362.0,2025-05-17,
167699811.0,2025-05-23,
167355510.0,2025-05-22,
167842804.0,2025-06-02,
167396091.0,2025-05-21,
167735938.0,2025-06-01,
167277953.0,2025-05-17,
167271773.0,2025-05-31,
167373730.0,2025-05-18,
167396091.0,2025-06-01,
167306757.0,2025-06-04,
167699811.0,2025-06-02,
167412454.0,2025-06-01,
167614811.0,2025-06-01,
167717589.0,2025-06-03,
167423492.0,2025-05-14,
167292320.0,2025-06-01,
167466023.0,2025-06-03,
167705273.0,2025-05-27,
167396091.0,2025-05-27,
167507567.0,2025-05-26,
167735938.0,2025-05-27,
167428907.0,2025-05-22,
167248274.0,2025-06-01,
167614811.0,2025-05-21,
167306757.0,2025-05-16,
167429492.0,2025-06-01,
167428907.0,2025-05-30,
167402764.0,2025-05-17,
167491713.0,2025-05-16,
167881257.0,2025-06-01,
167248274.0,2025-05-12,
167373730.0,2025-05-16,
167277953.0,2025-05-10,
167905920.0,2025-06-02,
167549474.0,2025-05-22,
167412330.0,2025-05-18,
167891184.0,2025-05-30,
167277953.0,2025-05-15,
167629832.0,2025-05-23,
167614811.0,2025-05-27,
167248274.0,2025-05-14,
167292729.0,2025-05-20,
167423492.0,2025-05-26,
167424227.0,2025-06-02,
167248274.0,2025-05-13,
167421578.0,2025-05-31,
167043362.0,2025-06-02,
167906269.0,2025-06-02,
167412330.0,2025-05-11,
167423957.0,2025-06-04,
167699811.0,2025-05-28,
167859493.0,2025-05-30,
167248274.0,2025-05-20,
167420005.0,2025-05-24,
167271773.0,2025-05-11,
167818340.0,2025-06-01,
167906096.0,2025-06-04,
167424227.0,2025-05-25,
167435724.0,2025-06-04,
167421578.0,2025-05-24,
167471842.0,2025-05-31,
167419995.0,2025-05-16,
167292729.0,2025-06-01,
167333192.0,2025-05-17,
167507567.0,2025-05-24,
167421578.0,2025-06-02,
167471842.0,2025-05-29,
167629832.0,2025-06-04,
167705273.0,2025-05-31,
167435724.0,2025-05-26,
167705273.0,2025-05-25,
167560953.0,2025-05-21,
167521340.0,2025-06-04,
167818340.0,2025-06-04,
167423492.0,2025-05-18,
167507567.0,2025-05-23,
168007238.0,2025-06-04,
167517469.0,2025-06-04,
167442216.0,2025-05-17,
167306757.0,2025-05-21,
167873129.0,2025-06-04,
167614811.0,2025-05-23,
167292320.0,2025-05-14,
167426382.0,2025-05-16,
167442216.0,2025-05-16,
167424227.0,2025-05-16,
167491713.0,2025-06-03,
167688649.0,2025-06-03,
167248274.0,2025-06-02,
167507567.0,2025-05-27,
167373730.0,2025-05-17,
167507567.0,2025-05-19,
167905920.0,2025-06-03,
167160324.0,2025-05-04,
167355510.0,2025-05-23,
167875190.0,2025-06-04,
167422175.0,2025-06-04,
167248274.0,2025-05-30,
167818340.0,2025-05-29,
167717589.0,2025-05-27,
167819883.0,2025-05-29,
167423492.0,2025-06-04,
167560953.0,2025-06-01,
167971767.0,2025-06-03,
167841197.0,2025-06-04,
167491713.0,2025-05-23,
167419995.0,2025-06-01,
167905722.0,2025-06-04,
167843227.0,2025-06-04,
167910477.0,2025-06-04,
167491713.0,2025-06-04,
167306757.0,2025-05-19,
167426382.0,2025-05-28,
167521340.0,2025-05-28,
167248274.0,2025-06-03,
167819883.0,2025-06-01,
167043362.0,2025-05-14,
167565509.0,2025-05-31,1.0
167504217.0,2025-06-02,1.0
167373730.0,2025-06-04,
167491713.0,2025-05-19,
167819883.0,2025-06-03,
167306757.0,2025-05-28,
167517469.0,2025-06-02,1.0
167412454.0,2025-05-27,1.0
167412330.0,2025-05-23,1.0
167428907.0,2025-05-31,
167421578.0,2025-06-04,
167355510.0,2025-05-19,
167412330.0,2025-05-22,1.0
167423492.0,2025-05-24,
167277953.0,2025-05-16,1.0
167422175.0,2025-05-30,1.0
167614811.0,2025-06-02,
167699811.0,2025-06-04,
167241716.0,2025-05-16,
167292320.0,2025-05-16,
167292729.0,2025-05-19,
167521340.0,2025-05-17,1.0
167420005.0,2025-06-03,1.0
167306757.0,2025-05-11,
167858857.0,2025-05-30,1.0
167043362.0,2025-05-30,1.0
167373730.0,2025-05-14,
167851093.0,2025-06-04,
167429492.0,2025-05-16,1.0
167396091.0,2025-05-15,1.0
167422175.0,2025-05-23,1.0
167248274.0,2025-05-09,1.0
167306519.0,2025-05-14,1.0
167422175.0,2025-05-24,
167412454.0,2025-05-22,1.0
167858383.0,2025-05-29,1.0
167517469.0,2025-05-31,1.0
167423957.0,2025-05-19,1.0
167818167.0,2025-05-29,1.0
167891184.0,2025-05-31,
167396091.0,2025-06-03,1.0
167705273.0,2025-05-30,1.0
167507567.0,2025-06-02,1.0
167424227.0,2025-05-23,1.0
167699811.0,2025-05-31,1.0
